id,country,title,record_type,event_dates,location_names,sources,summary,review_notes
AV-CM-DLA-202609,CMR,Douala September flooding,incident_episode,"{""start"": ""2026-09-10"", ""end"": null, ""precision"": ""night_10_to_11_confirmed_by_press; follow-up_dates_unresolved""}","[""Douala V"", ""Bonamoussadi"", ""Sable"", ""Entrée Mbanya"", ""Bepanda-Bonabo"", ""Makèpè-Missokè"", ""Denver""]","[""CM01"", ""CM02"", ""CM03"", ""CM04"", ""CM05""]","Local and broadcast reporting describes flooded streets and homes, disrupted school attendance and transport. Follow-up reporting on September 18 describes further impacts.","[""News from Sep 11–14 describes rain overnight Sep 10–11. Sep 18 report describes rain Sep 12–13. Could be additional rainfall or inconsistent dating; keep one episode with separately dated observations until checked."", ""Only label specific neighbourhood media when its caption supports that locality."", ""Municipal gauges are reported by press, not retrieved sensor observations.""]"
AV-CM-DLA-UPDATE-20260918,CMR,Douala humanitarian impact update,situation_update,"{""start"": null, ""reported_night"": ""2026-09-12/2026-09-13"", ""precision"": ""source_reported""}","[""Douala I"", ""Douala V""]","[""CM05""]","September 18 coverage, citing humanitarian reporting, describes approximately 500 affected households and approximately 200 displaced people.","[""Original humanitarian report not retrieved; do not label these as independently verified counts or add them to initial-report estimates.""]"
AV-CM-LIM-20260805,CMR,Limbe flooding and Mbende landslide,compound_incident,"{""start"": ""2026-08-05"", ""end"": null, ""precision"": ""day_reported""}","[""Limbe"", ""Mbende""]","[""CM06"", ""CM07""]",Reports describe flooding in Limbe and a landslide at Mbende after heavy rain. Keep landslide impacts distinct from flood impacts.,"[""Greenpeace attributes three deaths to the landslide based on residents; not a flood-only death count."", ""Do not imply the MVP has operational landslide prediction.""]"
AV-CM-KUM-20260805,CMR,Kumba flooding,incident_report,"{""start"": ""2026-08-05"", ""end"": null, ""precision"": ""day_reported""}","[""Kumba""]","[""CM07""]",Voice of Nature reports flooding in Kumba during the same August rain episode affecting Limbe.,"[""Single NGO report read; independent confirmation and town-specific photos still needed. Do not reuse a Limbe image as Kumba evidence.""]"
AV-GH-ACC-20260629,GHA,Greater Accra June 29 floods,incident_episode,"{""start"": ""2026-06-29"", ""end"": null, ""precision"": ""day""}","[""Accra"", ""Tema"", ""Afienya"", ""Tse Addo""]","[""GH01"", ""GH02"", ""GH03"", ""GH17"", ""GH19""]","Flood reporting supports new locality-specific evidence in Afienya and Tse Addo, plus broader rescue context in Greater Accra.","[""Do not count each gallery or regional report as a separate disaster."", ""Accra evidence must not be used for Lower Volta map communities.""]"
AV-GH-TOT-20260629,GHA,Persistent flooding in Totopey,locality_observation,"{""start"": ""2026-06-29"", ""end"": null, ""observed_as_of"": ""2026-08-19"", ""precision"": ""onset_day_reported""}","[""Totopey"", ""Ada East"", ""Songor Lagoon""]","[""GH05""]","An August report describes residents still unable to return home after the June 29 flooding, with water remaining around houses.","[""Recovery publication date is not the date the flood began."", ""Avoid treating Songor Lagoon as Akosombo spillage without evidence.""]"
AV-GH-ANLO-2026,GHA,Flood impacts at Anlo Afiadenyigba,locality_observation,"{""start"": null, ""end"": null, ""observed_as_of"": ""2026-07-12"", ""precision"": ""onset_unknown""}","[""Anlo Afiadenyigba"", ""Keta Municipality""]","[""GH06"", ""GH18""]",July reporting describes inundated homes and schools and receding water after Keta Lagoon floodgates opened.,"[""Do not infer cholera cases from a report expressing concern about disease risk.""]"
AV-GH-WETA-2026,GHA,Weta rice-farming flood impacts,locality_observation,"{""start"": null, ""end"": null, ""observed_as_of"": ""2026-07-16"", ""precision"": ""onset_unknown""}","[""Weta"", ""Ketu North""]","[""GH07""]","A July report documents submerged rice fields, damaged farm access and warehouses in Weta.","[""Publication is July 16; the article does not establish exact onset."", ""Reported cultivated area, affected acres and household counts describe different scopes; do not interchange them.""]"
AV-GH-SAM-202606,GHA,Samreboi and Asankragwa flooding,incident_report,"{""start"": null, ""end"": null, ""observed_as_of"": ""2026-06-19"", ""precision"": ""mid_June""}","[""Samreboi"", ""Asankragwa"", ""Wassa Amenfi West""]","[""GH08"", ""GH01""]","NADMO, quoted by Citi Newsroom, attributes flooding to the Samre and Tano rivers overflowing after rain; more than 24 buildings reportedly collapsed.","[""One source groups Samreboi under Western North; Citi identifies Wassa Amenfi West in Western. Verify administrative assignment from boundary data.""]"
AV-GH-CENT-202606,GHA,Central Region June rain-related disasters,regional_aggregate,"{""start"": null, ""end"": null, ""observed_as_of"": ""2026-06-23"", ""precision"": ""June_mid_to_late""}","[""Cape Coast"", ""Amamoma"", ""Ayensu"", ""Kwaprow"", ""Apewosika"", ""Central Region""]","[""GH09""]",NADMO reporting covers flooding alongside structural collapses and other rain-related hazards across multiple districts.,"[""A regional aggregate is not a single flood polygon or a set of camera locations."", ""Do not mix this all-hazards tally with national June-29-only counts.""]"
