id,related_record_id,location_name,evidence_role,capture_date,published_at,source_page_url,direct_media_url,credit,rights_status,display_ready,coordinates,technical_verification,notes
AV-M-001,AV-CM-DLA-202609,Douala V,incident_context,2026-09-12,2026-09-12,https://www.africanews.com/2026/09/12/cameroons-economic-capital-douala-wakes-up-underwater-after-heavy-rains/,https://images.euronews.com/articles/stories/09/91/07/29/1024x538_cmsv2_11e9ea98-4864-599a-9cdb-a37ec538d3e0-9910729.jpg,Africanews,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 538, ""sha256"": ""db5f11cdae2ab726b1e3de296133b15e0b6cd7e1398117a552479ca5f08d3c24"", ""bytes"": 101849, ""image_decoded"": true, ""dhash"": ""3bd67e8c9e67264e""}",Caption date; video narrative describes previous day. Rights: Africanews/Agences.
AV-M-002,AV-CM-DLA-202609,Douala V,incident_context,,2026-09-14,https://www.cameroon-tribune.cm/article.html/80602/fr.html/douala-v-les-eaux-sont-montees,https://www.cameroon-tribune.cm//administrateur/photo/normal_dbg76f9.jpg,Cameroon Tribune,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 960, ""height"": 460, ""sha256"": ""19ce346fae73e1390b7d66f4fd615232a8309483b643e6ab64a083cd673a844b"", ""bytes"": 197160, ""image_decoded"": true, ""dhash"": ""0616121232323606""}",
AV-M-003,AV-CM-DLA-202609,Douala,incident_context,,2026-09-11,https://www.duala.info/m/actu/douala-les-fortes-pluies-et-la-maree-haute-provoquent-des-debordements-dans-plusieurs-quartiers/3650,https://www.duala.info/newspics/3650.jpg,Duala Info / Camerounlink,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1080, ""height"": 810, ""sha256"": ""cfa67545ebaf66891ae5decdf51ab7cc3e758b900fa87bc5464094520a5bbe4b"", ""bytes"": 52756, ""image_decoded"": true, ""dhash"": ""1f164e66e56470c8""}",
AV-M-004,AV-CM-DLA-202609,Douala,assessment_visit,,2026-09-12,https://diaspocamtv.com/news/details/inondations-a-douala-v-le-gouverneur-du-littoral-sur-le-terrain,https://admin.diaspocamtv.com/storage/gallery/2026/09/12/isit4o67kdpjvkdkg0r3609r3j4ii2.jpeg,Diaspocam TV,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1280, ""height"": 958, ""sha256"": ""4f629eca03b53ad2619d7774e88c3b878baaed8a877e96cad0e4012f0d00682e"", ""bytes"": 197668, ""image_decoded"": true, ""dhash"": ""e5c7a38d8d954161""}", Official visit/interview; not a stand-alone inundation scene. Official visit/interview; not a stand-alone inundation scene.
AV-M-005,AV-CM-DLA-202609,Douala,incident_context,,2026-09-18,https://www.stopblablacam.com/societe/1809-16819-inondations-a-douala-pres-de-500-menages-touches-et-environ-200-personnes-deplacees,https://www.stopblablacam.com/media/k2/items/cache/4b0f993971312740a416f1b957b79fe4_M.jpg,StopBlaBlaCam,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 450, ""height"": 305, ""sha256"": ""ab9b0715e67bdf8176ed37b60e6f07d8c34ddc2a0efc72496f33072f197e78f4"", ""bytes"": 50882, ""image_decoded"": true, ""dhash"": ""60389ccc62b63c76""}",
AV-M-006,AV-CM-LIM-20260805,Limbe (article-level),flood_scene_in_compound_event_article,,2026-08-27,https://www.greenpeace.org/africa/en/blog/61512/three-lives-lost-in-limbe-cameroon-cannot-keep-meeting-the-rains-with-bare-hands/,https://www.greenpeace.org/static/planet4-africa-stateless/2026/08/8978faf4-763701408_2927128017635279_3270900010944470948_n.jpeg,Greenpeace Africa,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1280, ""height"": 1196, ""sha256"": ""23311742ee60e53f4fa72579d8fc02bc992e829d45c38472428dc5259e15ac10"", ""bytes"": 100719, ""image_decoded"": true, ""dhash"": ""d2d45c4fd3268699""}","Do not label landslide fatalities as flood deaths. Photographer/capture time not established. Image shows flooded buildings, not the Mbende landslide itself; article-level Limbe association only. Image shows flooded buildings, not the Mbende landslide itself; article-level Limbe association only."
AV-M-007,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-29-at-7.08.17-AM.jpeg,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1280, ""height"": 720, ""sha256"": ""185ff73c52c21fc1cac454e73205b06b6116f5854cf4908f8bb3e42f20908f14"", ""bytes"": 98688, ""image_decoded"": true, ""dhash"": ""8080c0d8f8f8e838""}",
AV-M-008,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/image-3652-1024x576.png,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""ee9d0198dfcb3eaa433c24596bcaa0a722474f3b68bd66eac639747cdab08245"", ""bytes"": 891170, ""image_decoded"": true, ""dhash"": ""ff6fcf85cda9db5e""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-009,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/image-3647-1024x576.png,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""ebcf916c12b5f2cc98b04d46c64721d94c36e7c2e0ef59cf5875d8b547aedcef"", ""bytes"": 548664, ""image_decoded"": true, ""dhash"": ""efb7e7c48480c7c7""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-010,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/image-3645-1024x576.png,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""4894ac53aaf0550ecf806ced434f3f039876fcb949a4544adfb3c6450e55fa61"", ""bytes"": 565625, ""image_decoded"": true, ""dhash"": ""78188121036766ea""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
